Philippines,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
      Food,693,791,703,805,673,773,907,968,907,968,...,...,1606,1169,1645,1192,1444,1068,1108,1190,1096,1195,1617,1108,1042,836,1067,824,986,864,1146,898,1146,898,...,...
      Irrigation,131,351,192,414,16,112,589,1266,589,1266,...,...,1049,1253,1303,1273,0,...,2585,1982,2644,1965,0,...,658,1167,956,1302,0,...,2371,4152,2371,4152,...,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,321,314,344,326,227,241,157,217,157,220,163,5,235,209,249,220,202,180,266,220,266,220,...,...
      Land tax,172,412,175,470,168,274,70,182,70,182,...,...,307,504,289,528,381,388,168,329,166,331,225,318,265,2218,383,2667,2,15,171,1734,171,1734,...,...
      Land rent,6149,6351,6616,6652,5269,5699,7502,6752,7502,6752,...,...,11155,5236,11173,5541,11078,3801,10896,7467,11095,7433,2231,798,7174,9355,7981,10508,5386,5725,10789,11789,10789,11789,...,...
      Other inputs,263,291,289,318,213,227,331,327,331,327,...,...,1175,1271,1238,1293,914,1162,431,550,430,551,500,707,866,406,928,409,728,365,954,410,954,410,...,...
      Interest on capital,8,16,10,16,4,13,6,12,6,12,...,...,402,796,485,863,55,156,930,1469,951,1480,31,2,510,1007,621,1160,263,441,130,565,130,565,...,...
 Total Other Costs,7416,,7985,,6344,,9406,,9406,,0,,16015,,16477,,14099,,16274,,16539,,4767,,10749,,12186,,7568,,15827,,15827,,0,
Total Cost of Production,26467,,28652,,22353,,33407,,33407,,0,,45758,,47995,,36500,,47291,,47601,,33823,,44595,,48046,,36957,,54695,,54695,,0,
NET RETURNS,13308,,13930,,12254,,13678,,13678,,0,,-2113,,-1593,,-4247,,4249,,3773,,24635,,14235,,16207,,9754,,20820,,20820,,0,
Cost/kg,6.83,,6.96,,6.51,,7.84,,7.84,,0,,12.51,,12.34,,13.48,,11.88,,12.01,,7.23,,11.42,,11.23,,11.99,,12.3,,12.3,,0,
Net Profit Cost Ratio,0.5,,0.49,,0.55,,0.41,,0.41,,0,,-0.05,,-0.03,,-0.12,,0.09,,0.08,,0.73,,0.32,,0.34,,0.26,,0.38,,0.38,,0,
Net Profit from Rice Farming,13308,,13930,,12254,,13678,,13678,,0,,-2113,,-1593,,-4247,,4249,,3773,,24635,,14235,,16207,,9754,,20820,,20820,,0,
"Net Profit from Rice Farming + Returns
 to Own Labor",15030,,15732,,13825,,17072,,17072,,0,,1051,,1647,,-1395,,7236,,6736,,28637,,18367,,20560,,13396,,25974,,25974,,0,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",21179,,22349,,19094,,24574,,24574,,0,,12206,,12820,,9683,,18132,,17832,,30868,,25541,,28542,,18782,,36763,,36763,,0,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",21187,,22359,,19099,,24580,,24580,,0,,12608,,13306,,9738,,19062,,18782,,30899,,26050,,29163,,19045,,36894,,36894,,0,
Apayao,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 120),,(n = 94),,(n = 26),,(n = 120),,(n = 112),,(n = 8),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.04,0.78,1.12,0.82,0.75,0.53,1.07,0.84,1.07,0.85,1,0.68
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5125,2160,5344,2155,4334,2025,5546,2290,5597,2332,4839,1506
   Price (₱/kg),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,14.22,1.31,14.07,1.34,14.77,1.07,15.6,0.84,15.59,0.86,15.65,0.44
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
   Gross Returns,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,72893,,75199,,64004,,86515,,87283,,75725,
COSTS (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Material Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seeds,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3900,3823,3551,3175,5161,5472,2312,1252,2298,1289,2510,483
      Fertilizer,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9010,4468,8356,3566,11372,6349,6207,3890,6321,3973,4602,1947
      Herbicides,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,431,846,379,504,617,1554,415,597,441,609,60,111
      Insecticides,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,619,646,578,618,766,733,725,761,718,775,816,569
      Fungicides,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,176,517,225,575,0,...,94,326,101,336,0,...
      Other pesticides,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1115,863,1115,791,1118,1104,919,726,865,691,1686,818
 Total Material Costs,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,15252,,14206,,19034,,10673,,10744,,9674,
  Labor and Power Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Hired Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,237,450,206,406,347,578,107,237,88,204,383,446
        Land preparation,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1062,2016,918,1657,1579,2960,1427,1967,1343,1712,2607,4194
        Crop establishment,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6900,2496,6545,1538,8185,4319,6432,2237,6225,2119,9333,1902
        Crop care and maintenance,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,87,270,77,256,119,319,273,608,239,577,742,853
        Harvesting and threshing,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6735,2628,7069,2395,5527,3097,8255,3985,8310,4092,7479,1914
        Post-harvest labor,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,791,870,886,901,450,651,1032,1774,1062,1825,610,667
        Permanent hired labor,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,0,...,0,...,111,857,119,887,0,...
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,516,711,533,790,455,283,533,624,514,543,799,1365
        Land preparation,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,969,769,983,784,919,723,2383,3016,2472,3076,1138,1654
        Crop establishment,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,372,419,348,399,459,484,272,421,288,431,56,104
        Crop care and maintenance,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2747,3757,3039,4159,1693,1166,3055,4619,3193,4729,1130,1886
        Harvesting and threshing,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,80,579,96,653,23,82,113,868,121,898,0,...
        Post-harvest labor,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,0,...,0,...,117,236,111,237,200,214
 Power,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1039,729,1001,706,1177,806,1082,953,1116,973,603,357
 Total Labor and Power Costs,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,21536,,21703,,20934,,25193,,25201,,25081,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Food,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,242,501,282,551,99,197,659,727,668,745,535,411
      Irrigation,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,256,1064,326,1194,0,...,313,687,336,706,0,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,0,...,0,...,130,148,122,146,237,140
      Land tax,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,312,1798,399,2025,0,...,48,293,52,303,0,...
      Land rent,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,9576,17248,10191,18371,7355,12411,10259,12948,9176,11300,25424,23315
      Other inputs,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,849,713,879,721,740,686,1126,542,1136,558,998,193
      Interest on capital,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,74,139,75,157,71,32,54,126,55,131,48,7
 Total Other Costs,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11309,,12151,,8265,,12591,,11544,,27242,
Total Cost of Production,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,48097,,48060,,48232,,48457,,47489,,61997,
NET RETURNS,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,24796,,27139,,15772,,38058,,39793,,13728,
Cost/kg,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,9.39,,8.99,,11.13,,8.74,,8.48,,12.81,
Net Profit Cost Ratio,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.52,,0.56,,0.33,,0.79,,0.84,,0.22,
Net Profit from Rice Farming,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,24796,,27139,,15772,,38058,,39793,,13728,
"Net Profit from Rice Farming + Returns
 to Own Labor",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,29481,,32138,,19321,,44532,,46492,,17051,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,39057,,42329,,26676,,54792,,55669,,42475,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,39131,,42404,,26747,,54846,,55723,,42523,
Kalinga,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 0),,(n = 120),,(n = 94),,(n = 26),,(n = 116),,(n = 104),,(n = 12),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.22,0.93,1.25,1.01,1.1,0.54,1.19,0.86,1.24,0.89,0.79,0.33
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2352,1381,2613,1391,1410,838,4806,1918,5003,1854,3105,1660
   Price (₱/kg),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,14.47,1.92,14.61,1.78,13.96,2.31,15.33,2.12,15.43,2.01,14.5,2.88
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
   Gross Returns,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,34040,,38179,,19690,,73705,,77198,,45018,
COSTS (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Material Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seeds,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3029,1366,3026,1247,3039,1760,3319,3119,3448,3250,2201,1112
      Fertilizer,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6291,3591,6882,3699,4156,2103,7554,5116,7950,5134,4128,3543
      Herbicides,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,430,477,417,451,474,568,717,766,793,773,58,136
      Insecticides,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,820,802,882,854,597,532,1281,944,1344,967,734,460
      Fungicides,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,139,320,170,352,26,93,174,411,194,430,0,...
      Other pesticides,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,641,654,661,695,571,482,856,704,816,526,1197,1567
 Total Material Costs,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,11350,,12037,,8864,,13901,,14545,,8319,
  Labor and Power Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Hired Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,430,1233,439,1260,398,1154,109,315,122,331,0,...
        Land preparation,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1323,1755,1501,1887,681,931,1866,2064,1990,2113,794,1157
        Crop establishment,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4543,3635,4751,3866,3793,2557,4786,3318,4498,3357,7287,1400
        Crop care and maintenance,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,749,2147,889,2396,240,481,411,1008,447,1057,96,225
        Harvesting and threshing,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5181,3623,5572,3740,3767,2792,7157,3016,7205,2805,6737,4608
        Post-harvest labor,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,674,736,791,776,253,312,1570,1086,1535,1067,1876,1246
        Permanent hired labor,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1873,3125,1929,3114,1671,3218,4860,6614,5110,6881,2693,2897
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,730,1497,767,1646,594,758,310,493,301,481,389,600
        Land preparation,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1507,2346,1527,2439,1434,2017,1403,1754,1325,1557,2077,2985
        Crop establishment,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,259,394,246,418,309,296,203,301,192,279,302,455
        Crop care and maintenance,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1470,2100,1334,1751,1962,3043,2618,6601,2835,6935,742,989
        Harvesting and threshing,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,147,508,119,482,248,592,302,1316,307,1376,260,608
        Post-harvest labor,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,0,...,0,...,67,224,63,227,101,191
 Power,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1398,1655,1366,1744,1514,1304,1270,1471,1145,1218,2355,2702
 Total Labor and Power Costs,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,20284,,21230,,16864,,26932,,27073,,25711,
  Other Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Food,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3217,2466,2906,2199,4342,3047,2817,2076,2745,2019,3444,2533
      Irrigation,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,476,2200,608,2472,0,...,838,2008,935,2100,0,...
      Transportation,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,64,134,50,120,114,169,422,775,442,814,257,194
      Land tax,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...,0,...,0,...,934,2697,1041,2830,0,...
      Land rent,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2336,5298,2781,5840,727,1813,4680,11358,5220,11883,0,...
      Other inputs,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,525,309,570,312,363,237,1140,480,1171,475,871,455
      Interest on capital,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1010,1905,1018,1950,978,1769,326,845,362,886,20,12
 Total Other Costs,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7629,,7935,,6524,,11158,,11916,,4592,
Total Cost of Production,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,39263,,41202,,32252,,51991,,53534,,38621,
NET RETURNS,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,-5223,,-3023,,-12562,,21714,,23664,,6397,
Cost/kg,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,16.69,,15.77,,22.87,,10.82,,10.7,,12.44,
Net Profit Cost Ratio,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,-0.13,,-0.07,,-0.39,,0.42,,0.44,,0.17,
Net Profit from Rice Farming,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,-5223,,-3023,,-12562,,21714,,23664,,6397,
"Net Profit from Rice Farming + Returns
 to Own Labor",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,-1110,,969,,-8014,,26617,,28686,,10269,
"Net Profit from Rice Farming + Returns
 to Own Labor and Land",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1227,,3751,,-7287,,31298,,33907,,10269,
"Net Profit from Rice Farming + Returns
 to Own Labor, Land, and Capital",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2236,,4769,,-6309,,31624,,34268,,10289,
Cagayan,Jul-Dec 2006 harvest,,,,,,Jan-Jun 2007 harvest,,,,,,Jul-Dec 2011 harvest,,,,,,Jan-Jun 2012 harvest,,,,,,Jul-Dec 2016 harvest,,,,,,Jan-Jun 2017 harvest,,,,,
Items,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,,ALL ECOSYSTEMS,,IRRIGATED,,NON-IRRIGATED,
,(n = 114),,(n = 87),,(n = 27),,(n = 109),,(n = 77),,(n = 32),,(n = 112),,(n = 88),,(n = 24),,(n = 112),,(n = 88),,(n = 24),,(n = 224),,(n = 164),,(n = 60),,(n = 230),,(n = 200),,(n = 30),
,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa,Mean,SDa
Area planted (ha),1.05,0.87,1.09,0.95,0.93,0.53,1,0.73,1.06,0.8,0.87,0.5,1.08,0.97,1.19,1.04,0.68,0.42,1.18,1.01,1.27,1.1,0.88,0.52,1.17,0.96,1.26,1.04,0.92,0.62,1.01,0.91,1.04,0.95,0.77,0.54
RETURNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Yield (kg/ha),3906,1348,4153,1353,3111,988,4345,1741,4888,1624,3039,1262,3759,1207,3796,1208,3620,1218,4514,1403,4706,1429,3810,1056,2979,1677,3239,1754,2268,1193,4666,1597,4770,1599,3970,1420
   Price (₱/kg),9.45,0.81,9.45,0.78,9.44,0.95,10.95,0.73,11.11,0.63,10.58,0.83,11.9,1.1,11.97,1.11,11.67,1.05,12.68,1.14,12.78,1.13,12.3,1.15,13.58,2.52,13.76,2.38,13.08,2.83,15.25,1.67,15.34,1.65,14.67,1.73
   PhP-USD exchange rate (₱/$1)b,51.31,,51.31,,51.31,,46.15,,46.15,,46.15,,43.31,,43.31,,43.31,,42.23,,42.23,,42.23,,47.49,,47.49,,47.49,,50.4,,50.4,,50.4,
   Gross Returns,36910,,39258,,29356,,47589,,54291,,32150,,44741,,45438,,42228,,57219,,60130,,46882,,40451,,44574,,29667,,71147,,73151,,58247,
COSTS (₱/ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Material Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Seeds,974,460,1026,482,809,338,1047,570,1140,627,822,308,1729,871,1731,939,1725,572,2477,2107,2686,2281,1709,978,2718,2399,2713,2390,2731,2442,3902,3708,3848,3370,4268,5522
      Fertilizer,3187,2243,3311,2396,2787,1633,5141,6346,6205,7242,2583,1477,6099,2681,6353,2595,5168,2840,6009,2781,6480,2871,4280,1470,5181,3333,5354,3459,4707,2936,6564,3085,6869,3101,4528,2061
      Herbicides,110,173,132,186,39,95,147,253,187,285,51,104,320,433,324,437,306,427,302,428,343,458,148,241,221,337,234,358,188,271,308,451,341,470,90,183
      Insecticides,431,488,479,529,274,274,430,483,466,526,342,349,672,583,608,570,910,581,932,769,940,763,902,806,578,831,529,723,713,1070,718,700,719,717,716,581
      Fungicides,15,74,15,73,15,77,0,...,0,...,0,...,5,52,0,...,23,113,37,187,34,180,44,216,58,218,66,247,37,97,99,411,79,276,233,888
      Other pesticides,412,478,440,523,320,277,592,1411,708,1643,313,449,866,537,855,547,909,508,753,488,751,485,760,508,700,775,665,550,796,1191,1027,557,1051,560,868,520
 Total Material Costs,5128,,5403,,4244,,7357,,8707,,4111,,9693,,9871,,9041,,10509,,11236,,7844,,9456,,9560,,9171,,12619,,12906,,10704,
  Labor and Power Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Hired Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Seedling management,39,132,45,147,19,68,24,119,33,140,2,11,127,210,130,219,116,178,110,197,115,206,91,165,205,337,251,366,79,195,193,477,212,503,67,206
        Land preparation,1349,1609,1393,1691,1206,1328,936,1111,967,1213,860,824,1244,1529,1215,1507,1350,1635,1297,1339,1279,1350,1363,1326,1147,1477,1177,1498,1063,1428,1704,2433,1697,2468,1751,2223
        Crop establishment,2050,867,2197,782,1575,969,2096,959,2247,979,1734,812,3371,1409,3508,1419,2871,1278,3482,1195,3482,1126,3481,1448,4897,2307,4738,2317,5333,2241,6526,3486,6526,2540,6522,7190
        Crop care and maintenance,23,164,25,183,16,81,43,229,61,270,0,...,119,277,125,282,96,263,86,266,85,269,92,262,154,446,187,498,64,238,268,1018,309,1086,0,...
        Harvesting and threshing,5490,2574,5871,2753,4261,1289,6315,3025,7059,3071,4526,2020,6607,2864,6728,3053,6162,2018,8784,3480,9115,3695,7567,2201,6173,4254,6664,4516,4831,3094,8106,4553,8351,4703,6472,2955
        Post-harvest labor,394,437,416,461,323,347,465,611,521,652,330,482,520,517,551,535,405,432,599,557,575,535,684,637,659,769,754,821,397,528,1610,1446,1699,1504,1016,750
        Permanent hired labor,779,1889,857,2038,529,1295,1390,3434,1769,3874,480,1756,1148,2497,1379,2707,304,1190,1554,3579,1757,3692,811,3090,1191,3130,1300,3339,891,2469,1443,3845,1575,4026,563,2141
"    Operator, Family & Exchange (OFE) Labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
